contract,expiryDate,optionType,strikePrice,lastPrice,change,pChange,openPrice,highPrice,lowPrice,closePrice,volume,totalTurnover,value,premiumTurnOver,underlyingValue,openInterest,noOfTrades,datetime
NIFTY 13-Apr-2026,13-Apr-2026,Put,24450,422.75,-240.9,-36.3,587.3,587.3,397.05,421.2,270595,125355839.7,125355839.7,6741403589.7,24050.6,279.0,4163,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,25000,947.1,-252.2,-21.03,1100.05,1100.05,925.0,946.4,264875,262085866.25,262085866.25,6883960866.25,24050.6,2757.0,4075,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,20350,0.6,-0.45,-42.86,1.05,1.45,0.45,0.55,250510,155316.2,155316.2,5098033816.2,24050.6,1634.0,3854,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,23450,623.75,192.2,44.54,435.0,645.9,435.0,616.65,236015,133044015.65,133044015.65,5667595765.65,24050.6,858.0,3631,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,20450,0.6,-0.55,-47.83,1.15,1.15,0.55,0.65,233740,179979.8,179979.8,4780162979.8,24050.6,710.0,3596,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,21150,0.85,-0.7,-45.16,1.85,1.9,0.7,0.8,198770,202745.4,202745.4,4204188245.4,24050.6,787.0,3058,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22000,2054.9,248.35,13.75,1910.0,2061.45,1894.4,2055.8,191425,384791049.5,384791049.5,4596141049.5,24050.6,1944.0,2945,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,23100,958.9,233.75,32.23,805.95,980.45,801.95,960.0,176865,158030646.15,158030646.15,4243612146.15,24050.6,3017.0,2721,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,20550,0.65,-0.55,-45.83,1.2,1.25,0.6,0.7,158990,117652.6,117652.6,3267362152.6,24050.6,843.0,2446,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,23250,814.4,228.25,38.94,683.0,824.8,655.05,810.8,118040,87518397.2,87518397.2,2831948397.2,24050.6,1326.0,1816,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,24650,613.25,-239.7,-28.1,731.55,731.55,581.75,602.8,117000,76757850.0,76757850.0,2960807850.0,24050.6,128.0,1800,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22500,1555.0,248.6,19.03,1408.9,1572.7,1408.9,1554.05,113750,170718275.0,170718275.0,2730093275.0,24050.6,3312.0,1750,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,23350,718.3,209.95,41.3,580.0,737.9,569.9,714.95,101595,66353726.4,66353726.4,2438596976.4,24050.6,715.0,1563,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22700,1357.9,251.4,22.72,1394.35,1394.35,1230.0,1359.3,95420,125275009.6,125275009.6,2291309009.6,24050.6,2346.0,1468,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22900,1155.0,233.6,25.35,979.3,1184.2,979.3,1159.0,89310,99694966.8,99694966.8,2144893966.8,24050.6,7070.0,1374,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,25500,1452.7,-233.65,-13.86,1550.0,1559.5,1429.0,1452.45,83395,124199339.55,124199339.55,2250771839.55,24050.6,1163.0,1283,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22800,1248.3,236.1,23.33,1150.0,1275.8,1120.0,1246.7,77610,93632584.5,93632584.5,1863140584.5,24050.6,5016.0,1194,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,24550,515.0,-241.5,-31.92,649.2,649.2,486.55,511.1,72345,39571991.55,39571991.55,1815641741.55,24050.6,154.0,1113,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,23050,1000.0,219.65,28.15,863.65,1031.3,856.4,1006.05,60710,57784385.1,57784385.1,1457149885.1,24050.6,1075.0,934,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,23150,911.95,232.8,34.28,804.0,930.15,777.25,913.8,55120,46760500.8,46760500.8,1322788500.8,24050.6,838.0,848,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,24700,653.85,-247.9,-27.49,802.3,802.3,638.7,653.1,54080,37811113.6,37811113.6,1373587113.6,24050.6,302.0,832,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22400,1652.9,236.95,16.73,1524.35,1677.65,1524.35,1655.95,52195,84026120.75,84026120.75,1253194120.75,24050.6,2268.0,803,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,26000,1948.7,-232.25,-10.65,2050.05,2090.8,1929.9,1960.75,49920,99414681.6,99414681.6,1397334681.6,24050.6,1456.0,768,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,24800,754.6,-244.55,-24.48,860.0,894.0,731.95,750.95,44915,35523273.5,35523273.5,1149415273.5,24050.6,200.0,691,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22600,1460.0,246.85,20.35,1201.0,1480.0,1201.0,1456.95,44525,62314073.25,62314073.25,1068579073.25,24050.6,2133.0,685,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22950,1111.25,234.3,26.72,963.6,1124.5,946.0,1107.55,17875,18770358.75,18770358.75,429001608.75,24050.6,1252.0,275,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22850,1197.6,220.4,22.55,1031.35,1225.0,1031.25,1207.4,16575,18923346.0,18923346.0,397662096.0,24050.6,1529.0,255,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,24900,850.15,-245.7,-22.42,955.85,976.65,839.2,843.9,14430,12984979.8,12984979.8,372291979.8,24050.6,72.0,222,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,24750,702.6,-250.55,-26.29,812.4,836.65,682.45,705.35,13975,10340382.0,10340382.0,356221632.0,24050.6,48.0,215,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22200,1857.95,239.4,14.79,1730.0,1862.0,1720.0,1844.1,13650,24537786.0,24537786.0,327567786.0,24050.6,785.0,210,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,25200,1140.0,-51.6,-4.33,1299.6,1299.6,1140.0,1145.25,9880,11637553.2,11637553.2,260613553.2,24050.6,112.0,152,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22300,1762.55,262.4,17.49,1615.0,1767.25,1615.0,1757.9,8970,15345248.1,15345248.1,215376248.1,24050.6,834.0,138,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22750,1310.0,253.4,23.98,1192.65,1323.9,1173.6,1308.9,6890,8770418.8,8770418.8,165517918.8,24050.6,594.0,106,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,21000,3060.75,233.55,8.26,2999.15,3071.35,2895.15,3043.75,6045,18238188.15,18238188.15,145183188.15,24050.6,296.0,93,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22650,1401.5,237.05,20.36,1335.45,1415.65,1328.1,1404.35,5070,6939917.4,6939917.4,121775417.4,24050.6,491.0,78,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,24850,801.65,-244.1,-23.34,909.55,909.55,790.0,795.55,4160,3457708.8,3457708.8,106833708.8,24050.6,39.0,64,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,21500,2560.0,248.4,10.75,2509.45,2571.05,2460.0,2545.1,3965,9980499.75,9980499.75,95227999.75,24050.6,408.0,61,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22250,1800.0,236.55,15.13,1726.45,1810.0,1659.7,1800.0,3575,6285529.25,6285529.25,85829279.25,24050.6,209.0,55,2026-04-11 10:09:51
